boardName,algorithm,heuristic,opponent,opponentHeuristic,moves,executionTime,expandedNodes,winner
1,random,,,,116,0.002708,0,X
2,random,,,,2054,0.031077,0,X
11,random,,,,2500,0.033411,0,None
21,random,,,,2500,0.029358,0,None
39,random,,,,2500,0.033447,0,None
40,random,,,,2500,0.033369,0,None
1,bfs,,,,8,0.103218,1057,X
2,bfs,,,,8,0.307708,2776,X
11,bfs,,,,25,0.07366,828,X
21,bfs,,,,21,0.022896,258,X
39,bfs,,,,50,0.31559,3586,X
40,bfs,,,,51,0.27616,3034,X
1,astar,distanceToExit,,,9,0.109405,756,X
2,astar,distanceToExit,,,9,0.159406,1208,X
11,astar,distanceToExit,,,27,0.066142,708,X
21,astar,distanceToExit,,,21,0.019394,242,X
39,astar,distanceToExit,,,50,0.307268,3585,X
40,astar,distanceToExit,,,51,0.274691,2862,X
1,astar,blockersCount,,,8,0.111934,998,X
2,astar,blockersCount,,,8,0.161035,1338,X
11,astar,blockersCount,,,28,0.073379,788,X
21,astar,blockersCount,,,21,0.019864,254,X
39,astar,blockersCount,,,50,0.305335,3542,X
40,astar,blockersCount,,,51,0.265788,2772,X
1,astar,blockersTotalSize,,,8,0.117007,1056,X
2,astar,blockersTotalSize,,,8,0.38633,3054,X
11,astar,blockersTotalSize,,,25,0.07386,815,X
21,astar,blockersTotalSize,,,21,0.019886,254,X
39,astar,blockersTotalSize,,,50,0.305087,3577,X
40,astar,blockersTotalSize,,,51,0.287996,3028,X
1,astar,stepsToClearPath,,,8,0.107257,935,X
2,astar,stepsToClearPath,,,8,0.258516,2073,X
11,astar,stepsToClearPath,,,27,0.074282,801,X
21,astar,stepsToClearPath,,,21,0.019779,250,X
39,astar,stepsToClearPath,,,50,0.311106,3549,X
40,astar,stepsToClearPath,,,51,0.268006,2763,X
1,astar,singlePlayer,,,8,0.096747,797,X
2,astar,singlePlayer,,,10,0.069757,485,X
11,astar,singlePlayer,,,27,0.063389,637,X
21,astar,singlePlayer,,,22,0.021464,229,X
39,astar,singlePlayer,,,61,0.352054,3910,X
40,astar,singlePlayer,,,52,0.223612,2198,X
adv_sample1,randomAdv,nullHeuristic,randomAdv,nullHeuristic,32,0.047551,0,Y
adv_sample2,randomAdv,nullHeuristic,randomAdv,nullHeuristic,74,0.247448,0,Y
adv_sample3,randomAdv,nullHeuristic,randomAdv,nullHeuristic,76,0.724078,0,Y
adv_sample1,alphabeta,distanceToExit,randomAdv,nullHeuristic,18,0.040314,0,Y
adv_sample2,alphabeta,distanceToExit,randomAdv,nullHeuristic,30,0.124366,0,Y
adv_sample3,alphabeta,distanceToExit,randomAdv,nullHeuristic,56,0.383021,0,Y
adv_sample1,randomAdv,nullHeuristic,alphabeta,distanceToExit,41,0.107191,0,X
adv_sample2,randomAdv,nullHeuristic,alphabeta,distanceToExit,37,0.119497,0,X
